Book,Author,Genere1,Genere2,Genere3,Genere4,Genere5,Genere6,Genere7,Combined_Features
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,Fantasy,Young Adult,Romance,Fae,Young Adult Fantasy,Fiction,Magic,the queen of nothing the folk of the air  holly black fantasy young adult romance fae young adult fantasy fiction magic
"The Rise and Fall of D.O.D.O. (D.O.D.O., #1)",Neal Stephenson,Science Fiction,Fantasy,Fiction,Time Travel,Historical Fiction,Audiobook,Magic,the rise and fall of dodo dodo  neal stephenson science fiction fantasy fiction time travel historical fiction audiobook magic
"The Prize Winner of Defiance, Ohio: How My Mother Raised 10 Kids on 25 Words or Less",Terry Ryan,Nonfiction,Memoir,Biography,Biography Memoir,Adult,Book Club,History,the prize winner of defiance ohio how my mother raised  kids on  words or less terry ryan nonfiction memoir biography biography memoir adult book club history
Prairie Tale,Melissa Gilbert,Biography,Nonfiction,Memoir,Autobiography,Biography Memoir,Adult,Tv,prairie tale melissa gilbert biography nonfiction memoir autobiography biography memoir adult tv
"Desperation in Death (In Death, #55)",J.D. Robb,Mystery,Fiction,Romance,Suspense,Thriller,Crime,Futuristic,desperation in death in death  jd robb mystery fiction romance suspense thriller crime futuristic
Babel: An Arcane History,R.F. Kuang,Fantasy,Historical Fiction,Fiction,Historical,Adult,Audiobook,Historical Fantasy,babel an arcane history rf kuang fantasy historical fiction fiction historical adult audiobook historical fantasy
"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,Historical Fiction,Fiction,Historical,Audiobook,Fantasy,British Literature,Medieval,the evening and the morning kingsbridge  ken follett historical fiction fiction historical audiobook fantasy british literature medieval
Whatever Happened to Justice?,Richard J. Maybury,Nonfiction,Politics,Economics,History,Education,School,Government,whatever happened to justice richard j maybury nonfiction politics economics history education school government
Let the Shadows Fall Behind You,Kathy-Diane Leveille,Mystery,Contemporary,Suspense,0,0,0,0,let the shadows fall behind you kathydiane leveille mystery contemporary suspense    
"Dead By Sunset: Perfect Husband, Perfect Killer?",Ann Rule,True Crime,Nonfiction,Crime,Audiobook,Mystery,Adult,Thriller,dead by sunset perfect husband perfect killer ann rule true crime nonfiction crime audiobook mystery adult thriller
Freedom: A Novel of Abraham Lincoln and the Civil War,William Safire,Historical Fiction,Fiction,Civil War,War,Politics,American Civil War,American History,freedom a novel of abraham lincoln and the civil war william safire historical fiction fiction civil war war politics american civil war american history
"Hyperspace: A Scientific Odyssey Through Parallel Universes, Time Warps, and the Tenth Dimension",Michio Kaku,Science,Nonfiction,Physics,Astronomy,Popular Science,Space,Philosophy,hyperspace a scientific odyssey through parallel universes time warps and the tenth dimension michio kaku science nonfiction physics astronomy popular science space philosophy
"Wind in the Grasses Dancing (Dancing the Dream, #1)",Terrie McClay,Historical Fiction,Westerns,Historical Romance,Romance,Historical,0,0,wind in the grasses dancing dancing the dream  terrie mcclay historical fiction westerns historical romance romance historical  
Dragon Wish,Judith Leger,Romance,Fantasy,Dragons,Fiction,Magic,Fantasy Romance,0,dragon wish judith leger romance fantasy dragons fiction magic fantasy romance 
The Swimmer,Zsuzsa Bánk,German Literature,Fiction,Literature,Hungary,Novels,Historical Fiction,Roman,the swimmer zsuzsa bnk german literature fiction literature hungary novels historical fiction roman
Pornography: Men Possessing Women,Andrea Dworkin,Feminism,Nonfiction,Politics,Womens,Philosophy,Gender,Theory,pornography men possessing women andrea dworkin feminism nonfiction politics womens philosophy gender theory
Murphy,Samuel Beckett,Fiction,Classics,Irish Literature,Ireland,Literature,Novels,20th Century,murphy samuel beckett fiction classics irish literature ireland literature novels th century
Mildred Pierce,James M. Cain,Fiction,Classics,Noir,Mystery,Historical Fiction,Crime,Novels,mildred pierce james m cain fiction classics noir mystery historical fiction crime novels
Tom's Midnight Garden,Philippa Pearce,Fantasy,Childrens,Classics,Fiction,Time Travel,Middle Grade,Young Adult,toms midnight garden philippa pearce fantasy childrens classics fiction time travel middle grade young adult
"Starters (Starters, #1)",Lissa Price,Young Adult,Dystopia,Science Fiction,Fantasy,Fiction,Romance,Post Apocalyptic,starters starters  lissa price young adult dystopia science fiction fantasy fiction romance post apocalyptic
The Divine Heart of God the Father,Marcelle Bartolo-Abela,Religion,Spirituality,Nonfiction,God,0,0,0,the divine heart of god the father marcelle bartoloabela religion spirituality nonfiction god   
Girlfriend in a Coma,Douglas Coupland,Fiction,Canada,Contemporary,Science Fiction,Novels,Dystopia,Post Apocalyptic,girlfriend in a coma douglas coupland fiction canada contemporary science fiction novels dystopia post apocalyptic
"Fifty Shades Trilogy (Fifty Shades, #1-3)",E.L. James,Romance,Fiction,Erotica,BDSM,Adult,Contemporary,Erotic Romance,fifty shades trilogy fifty shades  el james romance fiction erotica bdsm adult contemporary erotic romance
"The First Pillar (Everville, #1)",Roy Huff,Fantasy,Young Adult,Science Fiction,Fiction,Adventure,Paranormal,Science Fiction Fantasy,the first pillar everville  roy huff fantasy young adult science fiction fiction adventure paranormal science fiction fantasy
Spring Water,John     Fitzgerald,Poetry,Fiction,0,0,0,0,0,spring water john     fitzgerald poetry fiction     
"Shattered and Shaken (Shaken, #1)",Julie Bailes,New Adult,Romance,Contemporary Romance,Military Fiction,Contemporary,Young Adult,Amazon,shattered and shaken shaken  julie bailes new adult romance contemporary romance military fiction contemporary young adult amazon
کلیدر,Mahmoud Dowlatabadi,Novels,Fiction,Literature,Iran,Unfinished,Romance,Classics, mahmoud dowlatabadi novels fiction literature iran unfinished romance classics
Knight of Flame,Scott Eder,Fantasy,0,0,0,0,0,0,knight of flame scott eder fantasy      
"Cruel & Unusual (Kay Scarpetta, #4)",Patricia Cornwell,Mystery,Crime,Fiction,Thriller,Mystery Thriller,Suspense,Murder Mystery,cruel  unusual kay scarpetta  patricia cornwell mystery crime fiction thriller mystery thriller suspense murder mystery
"The Golden Spruce: A True Story of Myth, Madness, and Greed",John Vaillant,Nonfiction,History,Nature,Canada,Environment,Science,True Crime,the golden spruce a true story of myth madness and greed john vaillant nonfiction history nature canada environment science true crime
"Impulse (Impulse, #1)",Ellen Hopkins,Young Adult,Poetry,Fiction,Contemporary,Mental Health,Realistic Fiction,Mental Illness,impulse impulse  ellen hopkins young adult poetry fiction contemporary mental health realistic fiction mental illness
The Go-Between,L.P. Hartley,Classics,Fiction,Historical Fiction,Coming Of Age,British Literature,Novels,20th Century,the gobetween lp hartley classics fiction historical fiction coming of age british literature novels th century
"Vampire Princess Rising (The Winters Family Saga, #2)",Jami Brumfield,Vampires,Witches,Angels,Werewolves,Paranormal,Magic,Paranormal Romance,vampire princess rising the winters family saga  jami brumfield vampires witches angels werewolves paranormal magic paranormal romance
"Dante's Amulet (Coriola, #2)",Melinda De Ross,Contemporary Romance,0,0,0,0,0,0,dantes amulet coriola  melinda de ross contemporary romance      
Love Poems and Sonnets,William Shakespeare,Poetry,Classics,Fiction,Romance,Plays,Literature,British Literature,love poems and sonnets william shakespeare poetry classics fiction romance plays literature british literature
"Arthamulla Hindu Matham, Vols. 1-10",Kannadasan,Religion,Nonfiction,Hinduism,Spirituality,Indian Literature,Philosophy,God,arthamulla hindu matham vols  kannadasan religion nonfiction hinduism spirituality indian literature philosophy god
Things a Little Bird Told Me: Confessions of the Creative Mind,Biz Stone,Nonfiction,Business,Biography,Memoir,Technology,Entrepreneurship,Leadership,things a little bird told me confessions of the creative mind biz stone nonfiction business biography memoir technology entrepreneurship leadership
The Half Brother,Lars Saabye Christensen,Fiction,Scandinavian Literature,Novels,Contemporary,Historical Fiction,Literature,Literary Fiction,the half brother lars saabye christensen fiction scandinavian literature novels contemporary historical fiction literature literary fiction
"Highland Darkness (The Donahue McGregor Saga, #1)",Lilian Jade,Paranormal,0,0,0,0,0,0,highland darkness the donahue mcgregor saga  lilian jade paranormal      
Brave Brush-Tail Possum,Diane Redfield Massie,Animals,Childrens,0,0,0,0,0,brave brushtail possum diane redfield massie animals childrens     
The Mark of Man,Owen H. Lewis,Dystopia,0,0,0,0,0,0,the mark of man owen h lewis dystopia      
A Sudden Light,Garth Stein,Fiction,Mystery,Historical Fiction,Fantasy,Ghosts,Paranormal,Audiobook,a sudden light garth stein fiction mystery historical fiction fantasy ghosts paranormal audiobook
Who Will Cry When You Die?,Robin S. Sharma,Self Help,Nonfiction,Philosophy,Personal Development,Inspirational,Psychology,Spirituality,who will cry when you die robin s sharma self help nonfiction philosophy personal development inspirational psychology spirituality
"The Book of Life (All Souls, #3)",Deborah Harkness,Fantasy,Fiction,Romance,Paranormal,Vampires,Witches,Magic,the book of life all souls  deborah harkness fantasy fiction romance paranormal vampires witches magic
"Edge of Eternity (The Century Trilogy, #3)",Ken Follett,Historical Fiction,Fiction,Historical,Audiobook,War,Novels,Adult,edge of eternity the century trilogy  ken follett historical fiction fiction historical audiobook war novels adult
Tale of the Lost Daughter,Karen  Clark,Paganism,0,0,0,0,0,0,tale of the lost daughter karen  clark paganism      
The Jester,James Patterson,Fiction,Mystery,Historical Fiction,Thriller,Mystery Thriller,Crime,Fantasy,the jester james patterson fiction mystery historical fiction thriller mystery thriller crime fantasy
The Magic of Reality: How We Know What's Really True,Richard Dawkins,Science,Nonfiction,Philosophy,Religion,Biology,Atheism,Evolution,the magic of reality how we know whats really true richard dawkins science nonfiction philosophy religion biology atheism evolution
Dark Incidence,A.G. Liam,Fantasy,Vampires,Paranormal,0,0,0,0,dark incidence ag liam fantasy vampires paranormal    
"Lady Fiasco (My Notorious Aunt, #1)",Kathleen Baldwin,Romance,Historical Romance,Historical Fiction,Regency,Historical,Regency Romance,Fiction,lady fiasco my notorious aunt  kathleen baldwin romance historical romance historical fiction regency historical regency romance fiction
"Adulthood Is a Myth (Sarah's Scribbles, #1)",Sarah Andersen,Graphic Novels,Comics,Humor,Nonfiction,Graphic Novels Comics,Adult,Comedy,adulthood is a myth sarahs scribbles  sarah andersen graphic novels comics humor nonfiction graphic novels comics adult comedy
Miro,A.E. Nasr,Fiction,0,0,0,0,0,0,miro ae nasr fiction      
"Library of Souls (Miss Peregrine's Peculiar Children, #3)",Ransom Riggs,Fantasy,Young Adult,Fiction,Paranormal,Historical Fiction,Horror,Audiobook,library of souls miss peregrines peculiar children  ransom riggs fantasy young adult fiction paranormal historical fiction horror audiobook
"Oliver's Story (Love Story, #2)",Erich Segal,Fiction,Romance,Drama,Classics,Contemporary,Novels,Chick Lit,olivers story love story  erich segal fiction romance drama classics contemporary novels chick lit
"Limits of Destiny (Limits of Destiny, #1)",Sharlyn G. Branson,Romance,Erotica,Contemporary,Contemporary Romance,Amazon,Erotic Romance,0,limits of destiny limits of destiny  sharlyn g branson romance erotica contemporary contemporary romance amazon erotic romance 
"Limits of Destiny (Limits of Destiny, #2)",Sharlyn G. Branson,Romance,Contemporary Romance,Adult Fiction,0,0,0,0,limits of destiny limits of destiny  sharlyn g branson romance contemporary romance adult fiction    
"Limits of Destiny (Limits of Destiny, #3)",Sharlyn G. Branson,Contemporary Romance,Romance,0,0,0,0,0,limits of destiny limits of destiny  sharlyn g branson contemporary romance romance     
"Limits of Destiny (Limits of Destiny, #4)",Sharlyn G. Branson,Romance,Contemporary Romance,Contemporary,0,0,0,0,limits of destiny limits of destiny  sharlyn g branson romance contemporary romance contemporary    
The Inconvenient Indian: A Curious Account of Native People in North America,Thomas King,Nonfiction,History,Canada,Politics,Race,Social Justice,Historical,the inconvenient indian a curious account of native people in north america thomas king nonfiction history canada politics race social justice historical
30 Pieces of Gold: Self Growth - How to use Inspirational Quotes Effectively.,Ron Millicent,Novels,Inspirational,Contemporary,Adult,Self Help,Psychology,0, pieces of gold self growth  how to use inspirational quotes effectively ron millicent novels inspirational contemporary adult self help psychology 
Crash Lane News,CrashLaneNews.com,Inspirational,Contemporary,Adult,0,0,0,0,crash lane news crashlanenewscom inspirational contemporary adult    
How to Stop Time,Matt Haig,Fiction,Fantasy,Historical Fiction,Science Fiction,Time Travel,Romance,Audiobook,how to stop time matt haig fiction fantasy historical fiction science fiction time travel romance audiobook
روزنامه‌ی سفر میمنت اثر ایالات متفرقه‌ی امریغ,احمد شاملو,Literature,Comedy,History,0,0,0,0,         literature comedy history    
The Vampire Gideon's Suicide Hotline and Halfway House for Orphaned Girls,Andrew Katz,Fantasy,Fiction,Horror,Vampires,Humor,Novels,Supernatural,the vampire gideons suicide hotline and halfway house for orphaned girls andrew katz fantasy fiction horror vampires humor novels supernatural
Born Slippy,Tom Lutz,Fiction,Noir,0,0,0,0,0,born slippy tom lutz fiction noir     
"Passenger (Passenger, #1)",Alexandra Bracken,Fantasy,Young Adult,Time Travel,Historical Fiction,Romance,Science Fiction,Historical,passenger passenger  alexandra bracken fantasy young adult time travel historical fiction romance science fiction historical
The Translation of the Meanings of Summarized Sahih Al-Bukhari: Arabic-English,Muhammad M. Khan,Islam,Religion,Nonfiction,Philosophy,Theology,History,Spirituality,the translation of the meanings of summarized sahih albukhari arabicenglish muhammad m khan islam religion nonfiction philosophy theology history spirituality
"Hard Eight (Stephanie Plum, #8)",Janet Evanovich,Mystery,Fiction,Humor,Chick Lit,Romance,Crime,Comedy,hard eight stephanie plum  janet evanovich mystery fiction humor chick lit romance crime comedy
The Final Solution,Michael Chabon,Fiction,Mystery,Historical Fiction,Crime,Novels,Literature,Literary Fiction,the final solution michael chabon fiction mystery historical fiction crime novels literature literary fiction
The Passenger,Lisa Lutz,Mystery,Fiction,Thriller,Mystery Thriller,Suspense,Audiobook,Crime,the passenger lisa lutz mystery fiction thriller mystery thriller suspense audiobook crime
"Crossover (Cross your Heart and Die, #1)",Diane L. Kowalyshyn,Fiction,Contemporary,Paranormal,0,0,0,0,crossover cross your heart and die  diane l kowalyshyn fiction contemporary paranormal    
"Caddie Woodlawn (Caddie Woodlawn, #1)",Carol Ryrie Brink,Historical Fiction,Childrens,Fiction,Classics,Young Adult,Middle Grade,Historical,caddie woodlawn caddie woodlawn  carol ryrie brink historical fiction childrens fiction classics young adult middle grade historical
The Fountains of Paradise,Arthur C. Clarke,Science Fiction,Fiction,Hugo Awards,Classics,Science Fiction Fantasy,Space,Fantasy,the fountains of paradise arthur c clarke science fiction fiction hugo awards classics science fiction fantasy space fantasy
"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",Stephanie  Land,Nonfiction,Memoir,Audiobook,Biography,Biography Memoir,Adult,Autobiography,maid hard work low pay and a mothers will to survive stephanie  land nonfiction memoir audiobook biography biography memoir adult autobiography
The Inmate,Freida McFadden,Thriller,Mystery Thriller,Mystery,Fiction,Audiobook,Suspense,Psychological Thriller,the inmate freida mcfadden thriller mystery thriller mystery fiction audiobook suspense psychological thriller
"Haveli (Shabanu, #2)",Suzanne Fisher Staples,Young Adult,Fiction,Historical Fiction,Pakistan,Teen,Cultural,Historical,haveli shabanu  suzanne fisher staples young adult fiction historical fiction pakistan teen cultural historical
"The Druid of Shannara (Heritage of Shannara, #2)",Terry Brooks,Fantasy,Fiction,Epic Fantasy,Science Fiction Fantasy,High Fantasy,Adventure,Magic,the druid of shannara heritage of shannara  terry brooks fantasy fiction epic fantasy science fiction fantasy high fantasy adventure magic
The Culture of Fear: Why Americans Are Afraid of the Wrong Things,Barry Glassner,Nonfiction,Sociology,Politics,Psychology,History,Social Science,Science,the culture of fear why americans are afraid of the wrong things barry glassner nonfiction sociology politics psychology history social science science
"He, She and It",Marge Piercy,Science Fiction,Fiction,Dystopia,Romance,Fantasy,Feminism,Speculative Fiction,he she and it marge piercy science fiction fiction dystopia romance fantasy feminism speculative fiction
Me & Emma,Elizabeth Flock,Fiction,Contemporary,Chick Lit,Abuse,Family,Drama,Adult Fiction,me  emma elizabeth flock fiction contemporary chick lit abuse family drama adult fiction
Fire Under the Snow: Testimony of a Tibetan Prisoner,Palden Gyatso,Nonfiction,Buddhism,Biography,History,Memoir,Autobiography,Spirituality,fire under the snow testimony of a tibetan prisoner palden gyatso nonfiction buddhism biography history memoir autobiography spirituality
The Place of the Lion,Charles  Williams,Fiction,Fantasy,Classics,Christian,Literature,Christian Fiction,Novels,the place of the lion charles  williams fiction fantasy classics christian literature christian fiction novels
"Everlost (Skinjacker, #1)",Neal Shusterman,Fantasy,Young Adult,Paranormal,Fiction,Supernatural,Ghosts,Science Fiction,everlost skinjacker  neal shusterman fantasy young adult paranormal fiction supernatural ghosts science fiction
Safely Home,Randy Alcorn,Fiction,Christian Fiction,Christian,China,Christianity,Faith,Novels,safely home randy alcorn fiction christian fiction christian china christianity faith novels
Commentaries on Living: First Series,J. Krishnamurti,Philosophy,Spirituality,Nonfiction,Psychology,Religion,India,Self Help,commentaries on living first series j krishnamurti philosophy spirituality nonfiction psychology religion india self help
"Bone Crossed (Mercy Thompson, #4)",Patricia Briggs,Urban Fantasy,Fantasy,Paranormal,Vampires,Romance,Werewolves,Paranormal Romance,bone crossed mercy thompson  patricia briggs urban fantasy fantasy paranormal vampires romance werewolves paranormal romance
"Bloodfever (Fever, #2)",Karen Marie Moning,Fantasy,Urban Fantasy,Paranormal,Romance,Fae,Paranormal Romance,Adult,bloodfever fever  karen marie moning fantasy urban fantasy paranormal romance fae paranormal romance adult
Taking the Leap: Freeing Ourselves from Old Habits and Fears,Pema Chödrön,Nonfiction,Buddhism,Spirituality,Self Help,Philosophy,Psychology,Religion,taking the leap freeing ourselves from old habits and fears pema chdrn nonfiction buddhism spirituality self help philosophy psychology religion
The Romance of Tristan and Iseult,Joseph Bédier,Classics,Romance,Fiction,Medieval,France,School,Historical Fiction,the romance of tristan and iseult joseph bdier classics romance fiction medieval france school historical fiction
"Just Don't Fall: How I Grew Up, Conquered Illness, and Made It Down the Mountain",Josh Sundquist,Nonfiction,Memoir,Biography,Disability,Audiobook,Autobiography,Inspirational,just dont fall how i grew up conquered illness and made it down the mountain josh sundquist nonfiction memoir biography disability audiobook autobiography inspirational
"Joy in the Morning (Jeeves, #8)",P.G. Wodehouse,Fiction,Humor,Classics,Comedy,British Literature,Audiobook,20th Century,joy in the morning jeeves  pg wodehouse fiction humor classics comedy british literature audiobook th century
The Making of a Surgeon,William A. Nolen,Medicine,Medical,Nonfiction,Memoir,Biography,Autobiography,History,the making of a surgeon william a nolen medicine medical nonfiction memoir biography autobiography history
"Fire from Heaven (Alexander the Great, #1)",Mary Renault,Historical Fiction,Fiction,Historical,LGBT,Classics,Queer,Mythology,fire from heaven alexander the great  mary renault historical fiction fiction historical lgbt classics queer mythology
A Tear and a Smile,Kahlil Gibran,Poetry,Philosophy,Fiction,Classics,Literature,Short Stories,Spirituality,a tear and a smile kahlil gibran poetry philosophy fiction classics literature short stories spirituality
Sam Walton: Made In America,Sam Walton,Business,Biography,Nonfiction,Autobiography,Leadership,Entrepreneurship,History,sam walton made in america sam walton business biography nonfiction autobiography leadership entrepreneurship history
My Boss's Slave,Kathryn Morgan Parry,Erotica,BDSM,0,0,0,0,0,my bosss slave kathryn morgan parry erotica bdsm     
Multilingual Digital Marketing: How To Achieve Your Digital Marketing Objectives And Increase Sales,Maria Johnsen,Business,Nonfiction,0,0,0,0,0,multilingual digital marketing how to achieve your digital marketing objectives and increase sales maria johnsen business nonfiction     
Annihilation of Caste,B.R. Ambedkar,Nonfiction,India,History,Politics,Philosophy,Sociology,Religion,annihilation of caste br ambedkar nonfiction india history politics philosophy sociology religion
Hamburg 1947: A Place for the Heart to Kip,Harry Leslie Smith,Nonfiction,War,0,0,0,0,0,hamburg  a place for the heart to kip harry leslie smith nonfiction war     
"A Time to Reap (The Legend of Carter Gabel, #1)",Jonas     Lee,Science Fiction,Young Adult,Time Travel,Fantasy,Romance,Fiction,0,a time to reap the legend of carter gabel  jonas     lee science fiction young adult time travel fantasy romance fiction 
"The Dragonet Prophecy (Wings of Fire, #1)",Tui T. Sutherland,Fantasy,Middle Grade,Dragons,Fiction,Childrens,Adventure,Young Adult,the dragonet prophecy wings of fire  tui t sutherland fantasy middle grade dragons fiction childrens adventure young adult
"Tris's Book (Circle of Magic, #2)",Tamora Pierce,Fantasy,Young Adult,Fiction,Magic,Young Adult Fantasy,Middle Grade,High Fantasy,triss book circle of magic  tamora pierce fantasy young adult fiction magic young adult fantasy middle grade high fantasy
The Wonderful Story of Henry Sugar and Six More,Roald Dahl,Short Stories,Fiction,Childrens,Fantasy,Young Adult,Classics,Middle Grade,the wonderful story of henry sugar and six more roald dahl short stories fiction childrens fantasy young adult classics middle grade
Unleash The Power of Social Media Marketing: Explosive Proven Strategies to Boost Your Social Media Marketing Campaign,Joe Praveen Sequeira,Business,Nonfiction,Social Media,0,0,0,0,unleash the power of social media marketing explosive proven strategies to boost your social media marketing campaign joe praveen sequeira business nonfiction social media    
Finding Parker,Scott Hildreth,New Adult,Romance,Contemporary,Contemporary Romance,Dark,Drama,Adult,finding parker scott hildreth new adult romance contemporary contemporary romance dark drama adult
Morium: Dark Horizons (Morium Trilogy #2),S.J. Hermann,Romance,0,0,0,0,0,0,morium dark horizons morium trilogy  sj hermann romance      
Tell It to the World: International Justice and the Secret Campaign to Hide Mass Murder in Kosovo,Eliott Behar,History,Nonfiction,War,Politics,True Crime,Law,0,tell it to the world international justice and the secret campaign to hide mass murder in kosovo eliott behar history nonfiction war politics true crime law 
"Learning to Live (Infinite Love, #1)",Kira Adams,Young Adult,Romance,Contemporary Romance,Contemporary,New Adult,0,0,learning to live infinite love  kira adams young adult romance contemporary romance contemporary new adult  
"Nevernight (The Nevernight Chronicle, #1)",Jay Kristoff,Fantasy,Young Adult,Fiction,Adult,High Fantasy,New Adult,Romance,nevernight the nevernight chronicle  jay kristoff fantasy young adult fiction adult high fantasy new adult romance
Book of My Mother,Albert Cohen,Classics,France,Nonfiction,Biography,French Literature,20th Century,Literature,book of my mother albert cohen classics france nonfiction biography french literature th century literature
"Tai-Pan (Asian Saga, #2)",James Clavell,Historical Fiction,Fiction,Historical,China,Adventure,Asia,Classics,taipan asian saga  james clavell historical fiction fiction historical china adventure asia classics
Nikola Tesla: Imagination and the Man That Invented the 20th Century,Sean Patrick,Biography,Nonfiction,History,Science,Biography Memoir,Self Help,Historical,nikola tesla imagination and the man that invented the th century sean patrick biography nonfiction history science biography memoir self help historical
The Birds' Christmas Carol,Kate Douglas Wiggin,Christmas,Fiction,Classics,Childrens,Holiday,Historical Fiction,Historical,the birds christmas carol kate douglas wiggin christmas fiction classics childrens holiday historical fiction historical
Beneath the Skin,Kyla Stone,Mental Health,Young Adult,Abuse,Contemporary,Fiction,Mental Illness,Audiobook,beneath the skin kyla stone mental health young adult abuse contemporary fiction mental illness audiobook
"Dom Wars: Round Two (Dom Wars, #2)",Lucian Bane,BDSM,Erotica,Romance,Humor,Erotic Romance,Contemporary,Adult,dom wars round two dom wars  lucian bane bdsm erotica romance humor erotic romance contemporary adult
A Sunday at the Pool in Kigali,Gil Courtemanche,Fiction,Africa,Historical Fiction,Rwanda,Canada,War,France,a sunday at the pool in kigali gil courtemanche fiction africa historical fiction rwanda canada war france
"Crocodile on the Sandbank (Amelia Peabody, #1)",Elizabeth Peters,Mystery,Historical Fiction,Fiction,Historical,Egypt,Romance,Historical Mystery,crocodile on the sandbank amelia peabody  elizabeth peters mystery historical fiction fiction historical egypt romance historical mystery
The Standard Grand,Jay Baron Nicorvo,Fiction,Mystery,Literary Fiction,0,0,0,0,the standard grand jay baron nicorvo fiction mystery literary fiction    
Jacob,Mark D.  Campbell,Horror,0,0,0,0,0,0,jacob mark d  campbell horror      
"Mona Lisa's Secret (Joey Peruggia, #1)",Phil Philips,Mystery,Fiction,Thriller,Historical Fiction,Amazon,Adventure,Mystery Thriller,mona lisas secret joey peruggia  phil philips mystery fiction thriller historical fiction amazon adventure mystery thriller
Your Soul's Plan: Discovering the Real Meaning of the Life You Planned Before You Were Born,Robert Schwartz,Spirituality,Nonfiction,Self Help,Philosophy,Metaphysics,New Age,Personal Development,your souls plan discovering the real meaning of the life you planned before you were born robert schwartz spirituality nonfiction self help philosophy metaphysics new age personal development
"The Heights of Perdition (The Divine Space Pirates, #1)",C.S.  Johnson,Romance,Science Fiction,Christian Fiction,Fantasy,Christian,Pirates,Fiction,the heights of perdition the divine space pirates  cs  johnson romance science fiction christian fiction fantasy christian pirates fiction
"To The Falls (The Falls Trilogy, #1)",Heather  Renee,Fantasy,Magic,Paranormal,Romance,0,0,0,to the falls the falls trilogy  heather  renee fantasy magic paranormal romance   
The Grass Is Singing,Doris Lessing,Fiction,Africa,Classics,Historical Fiction,Nobel Prize,South Africa,Literature,the grass is singing doris lessing fiction africa classics historical fiction nobel prize south africa literature
"Love in the Victory Garden (The Serve, #2)",Cece Whittaker,Fiction,Novels,Romance,Historical,New Adult,Middle Grade,Historical Fiction,love in the victory garden the serve  cece whittaker fiction novels romance historical new adult middle grade historical fiction
"Zero Day (John Puller, #1)",David Baldacci,Thriller,Fiction,Mystery,Crime,Suspense,Mystery Thriller,Audiobook,zero day john puller  david baldacci thriller fiction mystery crime suspense mystery thriller audiobook
Wonder,R.J. Palacio,Young Adult,Fiction,Middle Grade,Contemporary,Realistic Fiction,Childrens,School,wonder rj palacio young adult fiction middle grade contemporary realistic fiction childrens school
Whiteout,Ken Follett,Thriller,Mystery,Suspense,Mystery Thriller,Crime,Audiobook,Historical Fiction,whiteout ken follett thriller mystery suspense mystery thriller crime audiobook historical fiction
Heart Bones,Colleen Hoover,Romance,Contemporary,New Adult,Fiction,Contemporary Romance,Young Adult,Adult,heart bones colleen hoover romance contemporary new adult fiction contemporary romance young adult adult
The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships,Harriet Lerner,Psychology,Self Help,Nonfiction,Relationships,Feminism,Personal Development,Womens,the dance of intimacy a womans guide to courageous acts of change in key relationships harriet lerner psychology self help nonfiction relationships feminism personal development womens
"'night, Mother",Marsha Norman,Plays,Drama,Theatre,Fiction,Classics,20th Century,Mental Health,night mother marsha norman plays drama theatre fiction classics th century mental health
The HP Way: How Bill Hewlett And I Built Our Company,David Packard,Business,Biography,Nonfiction,History,Autobiography,Technology,Leadership,the hp way how bill hewlett and i built our company david packard business biography nonfiction history autobiography technology leadership
The Millionaire Messenger: Make a Difference and a Fortune Sharing Your Advice,Brendon Burchard,Business,Self Help,Nonfiction,Personal Development,Entrepreneurship,Finance,Buisness,the millionaire messenger make a difference and a fortune sharing your advice brendon burchard business self help nonfiction personal development entrepreneurship finance buisness
"The Stranger Diaries (Harbinder Kaur, #1)",Elly Griffiths,Mystery,Fiction,Gothic,Thriller,Crime,Mystery Thriller,Audiobook,the stranger diaries harbinder kaur  elly griffiths mystery fiction gothic thriller crime mystery thriller audiobook
Human Action: A Treatise on Economics,Ludwig von Mises,Economics,Philosophy,Politics,Nonfiction,Business,Finance,Classics,human action a treatise on economics ludwig von mises economics philosophy politics nonfiction business finance classics
Home with God: In a Life That Never Ends,Neale Donald Walsch,Spirituality,Nonfiction,New Age,Metaphysics,Inspirational,Religion,Philosophy,home with god in a life that never ends neale donald walsch spirituality nonfiction new age metaphysics inspirational religion philosophy
Here Comes Everybody: The Power of Organizing Without Organizations,Clay Shirky,Nonfiction,Business,Technology,Sociology,Social Media,Psychology,Internet,here comes everybody the power of organizing without organizations clay shirky nonfiction business technology sociology social media psychology internet
Khyber Run,Amber Green,M M Romance,Military Fiction,Contemporary,Fiction,Romance,Gay,Action,khyber run amber green m m romance military fiction contemporary fiction romance gay action
"Enchanted (Medieval, #3)",Elizabeth Lowell,Historical Romance,Romance,Historical,Medieval,Medieval Romance,Fantasy,Historical Fiction,enchanted medieval  elizabeth lowell historical romance romance historical medieval medieval romance fantasy historical fiction
El túnel,Ernesto Sábato,Fiction,Classics,Spanish Literature,Literature,Novels,Latin American,Latin American Literature,el tnel ernesto sbato fiction classics spanish literature literature novels latin american latin american literature
